topic_label,paper_count,avg_recognition_lag,avg_citation_count,avg_influential_citation_count,avg_impact_breadth_score,avg_citing_field_count,avg_citing_country_count
Database / Systems,67,11.970149253731343,1059.089552238806,,55.57716417910448,64.51515151515152,15.378787878787879
Data Mining / Web,46,12.782608695652174,1188.9782608695652,,58.4054347826087,67.73913043478261,16.5
Computer Vision,43,15.720930232558139,2848.720930232558,,61.24139534883721,65.74418604651163,17.3953488372093
Natural Language Processing,26,16.53846153846154,1333.923076923077,,58.20692307692308,65.65384615384616,17.03846153846154
Machine Learning Theory,18,15.11111111111111,892.3888888888889,,56.22333333333333,65.61111111111111,15.5
Human-Computer Interaction,13,15.538461538461538,2377.846153846154,,52.32,66.0,15.833333333333334
Reinforcement Learning,8,12.0,517.0,,55.84375,67.625,16.0
Real-Time / Embedded Systems,5,12.4,687.0,,53.124,68.4,13.4
Security / Privacy,4,12.75,768.0,,59.8725,66.25,17.5
Computer science,4,19.75,157.5,,48.9375,62.75,10.25
Fairness / Evaluation,4,15.0,879.0,,48.8425,56.25,11.25
Citation,2,16.5,1255.5,,57.5,70.5,17.5
Path loss,1,12.0,1002.0,,44.5,49.0,9.0
Router,1,11.0,682.0,,56.25,61.0,17.0
RAID,1,12.0,493.0,,44.75,60.0,10.0
Metaprogramming,1,10.0,169.0,,63.12,76.0,21.0
Network topology,1,12.0,1277.0,,50.62,58.0,12.0
Multicast,1,18.0,191.0,,58.5,60.0,15.0
Cluster analysis,1,22.0,947.0,,52.5,67.0,10.0
Implementation,1,18.0,89.0,,57.5,68.0,16.0
Computer network,1,12.0,2274.0,,65.5,52.0,21.0
Simplicity,1,20.0,909.0,,59.75,66.0,19.0
