venue_area,paper_count,avg_recognition_lag,avg_citation_count,avg_impact_breadth_score
Database,44,10.090909090909092,1441.3181818181818,56.61136363636364
Networking,38,14.552631578947368,1276.342105263158,53.99315789473684
IR,35,19.82857142857143,951.0571428571428,53.61514285714286
Software Engineering,29,10.689655172413794,333.0,57.01275862068965
CV,24,16.208333333333332,3314.875,62.38625
AI,19,18.63157894736842,585.0526315789474,55.56578947368421
Programming Languages,14,11.714285714285714,623.0714285714286,58.08142857142857
DM/Web,13,10.384615384615385,2980.5384615384614,67.28
CS,7,17.857142857142858,4215.0,64.5
Systems,7,12.285714285714286,541.7142857142857,51.357142857142854
Systems/Networking,7,10.0,833.5714285714286,58.394285714285715
Security,6,13.666666666666666,1101.1666666666667,44.375
ML,3,10.0,3276.3333333333335,65.83
NLP,2,16.0,2540.0,64.065
Architecture,1,19.0,297.0,49.38
Web,1,11.0,1186.0,85.88
