venue,venue_area,paper_count,first_publication_year,last_publication_year,first_award_year,last_award_year,avg_recognition_lag,median_recognition_lag,avg_citation_count,avg_influential_citation_count,avg_impact_breadth_score,avg_citing_field_count,avg_citing_country_count
SIGIR,IR,35,1980,2006,2014,2018,19.82857142857143,18.0,951.0571428571428,,53.61514285714286,65.8529411764706,15.088235294117647
SIGCOMM,Networking,33,1974,2008,2006,2018,15.212121212121213,12.0,1284.7575757575758,,52.82121212121212,59.81818181818182,13.848484848484848
ICSE,Software Engineering,29,1975,2007,1989,2017,10.689655172413794,10.0,333.0,,57.01275862068965,68.24137931034483,16.379310344827587
ICCV,CV,24,1987,2005,2009,2017,16.208333333333332,15.0,3314.875,,62.38625,68.08333333333333,18.125
SIGMOD,Database,24,1988,2008,1999,2018,10.166666666666666,10.0,1340.3333333333333,,56.760416666666664,64.04166666666667,15.083333333333334
VLDB,Database,20,1985,2004,1995,2014,10.0,10.0,1562.5,,56.432500000000005,63.45,14.9
AAAI,AI,19,1980,2000,1999,2018,18.63157894736842,19.0,585.0526315789474,,55.56578947368421,69.15789473684211,12.947368421052632
OOPSLA,Programming Languages,14,1987,2007,2007,2017,11.714285714285714,10.0,623.0714285714286,,58.08142857142857,63.785714285714285,17.642857142857142
ICDM,DM/Web,8,2001,2008,2010,2017,9.0,9.0,1162.375,,63.01625,68.375,19.0
FAST,Systems,7,2002,2004,2012,2018,12.285714285714286,12.0,541.7142857142857,,51.357142857142854,64.28571428571429,12.714285714285714
NSDI,Systems/Networking,7,2004,2008,2014,2018,10.0,10.0,833.5714285714286,,58.394285714285715,66.28571428571429,16.714285714285715
USENIX Security,Security,6,1998,2006,2013,2018,13.666666666666666,14.0,1101.1666666666667,,44.375,59.8,14.4
KDD,DM/Web,5,1996,2008,2014,2018,12.6,11.0,5889.6,,74.102,79.8,23.2
CCR,Networking,4,1996,2005,2007,2015,10.25,10.0,757.75,,62.16,60.5,19.5
ICML,ML,2,2007,2008,2017,2018,10.0,10.0,3583.0,,64.12,71.0,19.0
EMNLP,NLP,2,2002,2002,2018,2018,16.0,16.0,2540.0,,64.065,77.0,19.5
Sixth Data Comm.Symposium,CS,1,1979,1979,2006,2006,27.0,27.0,22.0,,41.12,43.0,7.0
WMCSA,CS,1,1999,1999,2018,2018,19.0,19.0,10309.0,,44.25,44.0,9.0
IEEE Transactions on Information Theory,CS,1,2000,2000,2018,2018,18.0,18.0,7857.0,,66.38,56.0,24.0
NIPS,ML,1,2007,2007,2017,2017,10.0,10.0,2663.0,,69.25,79.0,19.0
IMC,Networking,1,2007,2007,2017,2017,10.0,10.0,3073.0,,60.0,84.0,16.0
ACL,CS,1,2002,2002,2018,2018,16.0,16.0,542.0,,71.75,61.0,26.0
IEEE Personal Communications,CS,1,2001,2001,2018,2018,17.0,17.0,2415.0,,75.12,80.0,26.0
HPCA,Architecture,1,1999,1999,2018,2018,19.0,19.0,297.0,,49.38,62.0,12.0
ACM SenSys,CS,1,2006,2006,2018,2018,12.0,12.0,225.0,,77.0,83.0,32.0
ACM MobiCom,CS,1,2002,2002,2018,2018,16.0,16.0,8135.0,,75.88,53.0,34.0
WWW,Web,1,2007,2007,2018,2018,11.0,11.0,1186.0,,85.88,82.0,31.0
