venue,venue_area,paper_count,publication_year_span,award_year_span,source_url_coverage,paper_url_coverage,doi_or_paper_doi_coverage,openalex_coverage,median_recognition_lag,avg_recognition_lag,avg_citation_count,avg_impact_breadth_score,report_use,careful_wording_boundary
SIGIR,IR,35,1980-2006,2014-2018,35/35,34/35,33/35,34/35,18.0,19.8,951.1,53.6,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
SIGCOMM,Networking,33,1974-2008,2006-2018,33/33,33/33,32/33,33/33,12.0,15.2,1284.8,52.8,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ICSE,Software Engineering,29,1975-2007,1989-2017,29/29,29/29,26/29,29/29,10.0,10.7,333.0,57.0,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ICCV,CV,24,1987-2005,2009-2017,24/24,24/24,24/24,24/24,15.0,16.2,3314.9,62.4,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
SIGMOD,Database,24,1988-2008,1999-2018,24/24,24/24,24/24,24/24,10.0,10.2,1340.3,56.8,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
VLDB,Database,20,1985-2004,1995-2014,20/20,18/20,4/20,20/20,10.0,10.0,1562.5,56.4,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
AAAI,AI,19,1980-2000,1999-2018,19/19,19/19,2/19,19/19,19.0,18.6,585.1,55.6,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
OOPSLA,Programming Languages,14,1987-2007,2007-2017,14/14,14/14,14/14,14/14,10.0,11.7,623.1,58.1,core venue cluster for chart/report discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ICDM,DM/Web,8,2001-2008,2010-2017,8/8,8/8,8/8,8/8,9.0,9.0,1162.4,63.0,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
FAST,Systems,7,2002-2004,2012-2018,7/7,7/7,0/7,7/7,12.0,12.3,541.7,51.4,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
NSDI,Systems/Networking,7,2004-2008,2014-2018,7/7,6/7,1/7,7/7,10.0,10.0,833.6,58.4,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
USENIX Security,Security,6,1998-2006,2013-2018,6/6,5/6,3/6,5/6,14.0,13.7,1101.2,44.4,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
KDD,DM/Web,5,1996-2008,2014-2018,5/5,5/5,4/5,5/5,11.0,12.6,5889.6,74.1,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
CCR,Networking,4,1996-2005,2007-2015,4/4,4/4,4/4,4/4,10.0,10.2,757.8,62.2,secondary venue example for field balance discussion,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
EMNLP,NLP,2,2002-2002,2018-2018,2/2,2/2,2/2,2/2,16.0,16.0,2540.0,64.1,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ICML,ML,2,2007-2008,2017-2018,2/2,2/2,2/2,2/2,10.0,10.0,3583.0,64.1,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ACL,CS,1,2002-2002,2018-2018,1/1,1/1,1/1,1/1,16.0,16.0,542.0,71.8,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ACM MobiCom,CS,1,2002-2002,2018-2018,1/1,1/1,1/1,1/1,16.0,16.0,8135.0,75.9,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
ACM SenSys,CS,1,2006-2006,2018-2018,1/1,1/1,1/1,1/1,12.0,12.0,225.0,77.0,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
HPCA,Architecture,1,1999-1999,2018-2018,1/1,1/1,1/1,1/1,19.0,19.0,297.0,49.4,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
IEEE Personal Communications,CS,1,2001-2001,2018-2018,1/1,1/1,1/1,1/1,17.0,17.0,2415.0,75.1,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
IEEE Transactions on Information Theory,CS,1,2000-2000,2018-2018,1/1,1/1,1/1,1/1,18.0,18.0,7857.0,66.4,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
IMC,Networking,1,2007-2007,2017-2017,1/1,1/1,1/1,1/1,10.0,10.0,3073.0,60.0,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
NIPS,ML,1,2007-2007,2017-2017,1/1,1/1,0/1,1/1,10.0,10.0,2663.0,69.2,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
Sixth Data Comm.Symposium,CS,1,1979-1979,2006-2006,1/1,1/1,1/1,1/1,27.0,27.0,22.0,41.1,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
WMCSA,CS,1,1999-1999,2018-2018,1/1,1/1,1/1,1/1,19.0,19.0,10309.0,44.2,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
WWW,Web,1,2007-2007,2018-2018,1/1,1/1,1/1,1/1,11.0,11.0,1186.0,85.9,low-count example; use only as supporting context,award-history sample; not a venue quality ranking; citation/breadth are OpenAlex descriptive proxies
