paper_id,owner,title,venue,year,card_role,claim_use,coverage_status,evidence_links_count,citation_count,impact_breadth_score,risk_level,safe_wording,remaining_human_check,source_files
kdd_1996_1b93ceb4,E,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,Highest citation depth,presentation-ready cautious case,presentation-ready-cautious,4,19133,81.12,medium,Use as a highest citation depth example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
iccv_1987_56f24279,D,Snakes: Active Contour Models,ICCV,1987,Highest citation depth,presentation-ready cautious case,presentation-ready-cautious,5,17009,68.5,medium,Use as a highest citation depth example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
iccv_1999_ac21b391,D,Object Recognition from Local Scale-Invariant Features,ICCV,1999,Topic representative · Computer Vision,presentation-ready cautious case,presentation-ready-cautious,5,16147,65.88,medium,Use as a topic representative · computer vision example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
sigmod_1993_cda45823,E,Mining Association Rules Between Sets of Items in Large Databases,SIGMOD,1993,Topic representative · Database / Systems,presentation-ready cautious case,presentation-ready-cautious,6,14771,66.75,medium,Use as a topic representative · database / systems example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
vldb_1994_ba6086d0,E,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,Topic representative · Data Mining / Web,presentation-ready cautious case,presentation-ready-cautious,4,9384,58.88,medium,Use as a topic representative · data mining / web example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
ieee_transactions_on_information_theory_2000_f5a20c28,E,Network Information Flow,IEEE Transactions on Information Theory,2000,Topic representative · Machine Learning Theory,presentation-ready cautious case,presentation-ready-cautious,5,7857,66.38,medium,Use as a topic representative · machine learning theory example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
wmcsa_1999_367b771d,E,Ad-hoc On-Demand Distance Vector Routing,WMCSA,1999,Topic representative · Human-Computer Interaction,backup case after quick human check,presentation-ready-cautious,5,10309,44.25,medium-high,Use as a topic representative · human-computer interaction example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
oopsla_2001_a9f21d83,E,Multitasking without compromise: a virtual machine evolution,OOPSLA,2001,Broadest influence proxy,backup case after quick human check,presentation-ready-cautious,6,2212,86.5,medium-high,Use as a broadest influence proxy example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
kdd_2005_ebddb36d,E,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",KDD,2005,Broadest influence proxy,backup case after quick human check,presentation-ready-cautious,6,847,87.38,medium-high,Use as a broadest influence proxy example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
sigir_1980_e20f7878,B,Probabilistic Models of Indexing and Searching,SIGIR,1980,Longest recognition lag,backup case after quick human check,presentation-ready-cautious,5,316,58.62,medium-high,Use as a longest recognition lag example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,ready for cautious classroom wording,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
sigcomm_1998_d2b8808e,B,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,SIGCOMM,1998,Shortest recognition lag,backup case after quick human check,presentation-ready-cautious,4,36,56.12,medium-high,Use as a shortest recognition lag example with OpenAlex citation/breadth metrics framed as descriptive proxies; verify paper-specific contribution wording before final report/PPT.,industry/foundational claim needs note,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
sigcomm_1974_5f7a35f6,B,Research Areas in Computer Communication,SIGCOMM,1974,Longest recognition lag,background / contrast only,presentation-ready-cautious,5,9,31.62,high,Use only as a cautious contrast or background case until a teammate reads the linked paper/award evidence.,industry/foundational claim needs note,docs/evidence_cards_top12.csv; docs/top12_evidence_coverage_matrix.csv; manual_annotations/manual_paper_annotations_top12_evidence_ready.csv
