claim_id,owner,parent_issue,report_section,page_anchor,evidence_source,supporting_data,copy_ready_claim,safe_wording_boundary,remaining_human_check
A1,A,#2,Introduction / narrative chain,#story-builder,docs/story_builder_board.md,docs/final_report_figure_evidence_index.csv,"The dashboard should be read as one evidence chain: delayed recognition, award-community visibility, topic evolution, citation and breadth proxies, paper-level evidence, and network metadata together describe how Test-of-Time work remains visible over time.","Use as a narrative frame, not a causal model for why papers win awards.","Confirm final report order matches the live page and screenshots."
B1,B,#3,Time / recognition lag,#time,docs/time_module_demo_claim_cards.md,data/recognition_lag_distribution.csv,"Recognition lag shows that Test-of-Time recognition is usually delayed rather than immediate; the current dataset centers around a roughly 10–15 year confirmation window while retaining shorter and much longer cases.","Recognition lag is announcement_year minus publication_year; do not write it as the moment impact was created or as a quality score.","Pick 2-3 final paper cases and verify award-citation wording."
B2,B,#3,Award lifecycle citation window,#time,docs/award_lifecycle_analysis.md,docs/award_lifecycle_prepost_metrics.csv,"Aligning citation trajectories around the award year gives a useful descriptive view of pre-award and post-award citation windows, helping separate mature recognition cases from papers still gaining visibility.","The pre/post window is observational metadata, not proof that the award caused citation changes.","Decide whether the lifecycle table stays in the main report or appendix."
C1,C,#4,Venue and field,#venue,docs/venue_source_traceability_audit.md,data/venue_stats.csv,"Venue and field patterns show where long-term impact is most visible in this award dataset, with several communities such as database, networking, IR, software engineering, and computer vision contributing many recorded cases.","Write raw counts as award-history visibility, not conference quality rankings or field importance rankings.","Verify 2-3 selected venue/source URLs before final slides."
C2,C,#4,Venue-year case evidence,#venue,docs/venue_year_evidence_cards.md,docs/venue_year_evidence_cards.csv,"Venue-year evidence cards turn aggregate venue counts into specific clusters that can be explained in the report, such as a venue/year group with multiple time-tested papers and a shared methodological or systems context.","Call these representative clusters, not strongest years or best venues.","Choose final cards and confirm paper contribution language from source pages."
D1,D,#5,Topic evolution,#topic,docs/topic_shift_narrative.md,data/topic_year_stats.csv,"Topic evolution suggests a stable base of systems and data-oriented work alongside later visible growth in web/data mining, vision, language, and theory-related themes.","Topic labels are automatic or semi-automatic metadata and should be treated as a readable grouping layer, not an official taxonomy.","Prefer manually audited labels for Top 12 cases in final prose."
D2,D,#5,Topic / venue bridge,#topic,docs/topic_venue_crosswalk.md,docs/topic_venue_crosswalk.csv,"The topic-by-venue crosswalk links technical themes to the award communities where they are recorded, helping the report connect topic evolution with venue and field visibility instead of treating them as separate charts.","Crosswalk rows describe current dataset intersections only; they are not venue rankings or proof of topic value.","Select 2-3 intersections and verify representative paper evidence."
E1,E,#6,Citation depth and impact breadth,#citation,docs/citation_impact_handoff.md,data/citing_breadth_metrics.csv,"Citation depth and impact breadth provide two complementary proxy views: citation count captures scale of reuse, while breadth approximates how widely citing works spread across fields, institutions, and countries.","Impact breadth is an OpenAlex sampled proxy, not a complete citation graph or official award reason.","Use evidence coverage matrix before making strong contribution or industry-impact claims."
E2,E,#6,Citation trajectory archetypes,#citation,docs/citation_trajectory_archetypes.md,docs/citation_trajectory_archetypes.csv,"Trajectory archetypes help turn citation time series into report language, distinguishing sustained long-tail visibility, late resurgence, high-depth/high-breadth diffusion, and other observed citation-window patterns.","Archetypes describe the available OpenAlex window; avoid claiming complete lifetime histories.","Choose one archetype case per slide/report paragraph and verify evidence URLs."
F1,F,#7,Network and attribution,#network,docs/institution_country_attribution_audit.md,docs/institution_country_attribution_audit.csv,"Network and attribution materials show how public metadata makes some institutions, countries, and industry labs visible in the Test-of-Time corpus while also exposing sparse-affiliation cases.","Say metadata visibility and affiliation mentions; do not claim complete collaboration networks, institutional rankings, national rankings, or industrial adoption.","Pick final network cases and check screenshot/crop consistency."
F2,F,#7,Presentation and defense wording,#glossary,docs/defense_qa_pack.md,docs/glossary_metric_explainer.md,"The glossary and defense Q&A provide a shared vocabulary for explaining recognition lag, citation depth, impact breadth, OpenAlex proxy limits, and evidence-check boundaries during report writing and classroom questions.","Use cautious verbs such as shows, suggests, indicates, and avoid proves, causes, or determines.","Run a final wording pass across slides and report."
A2,A,#2,Final archive and QA,#final-qa,docs/final_archive_manifest.md,docs/final_archive_file_manifest.csv,"The final archive manifest and figure/evidence index make the submission auditable: every major page, data file, screenshot, and report-support document has a known place in the final package.","Structural readiness does not replace final human review of report claims and selected evidence URLs.","Run manifest validation and zip inspection after the final archive is built."
