metric,value,status,evidence_source,safe_wording_boundary
master paper rows,250,ready,data/papers_enriched.csv,"Rows are the current project dataset, not an exhaustive global award census."
"rows with usable year, award year, and nonnegative matching lag",250,ready,data/papers_enriched.csv,Use only usable rows for recognition-lag calculations.
publication year span,1974–2008,ready,year field,Observed publication span of current data only.
announcement year span,1989–2018,ready,announcement_year field,Observed award-announcement span of current data only.
recognition lag range,9–34 years,ready,recognition_lag field,"Lag is timing metadata, not a quality score."
median recognition lag,12.0 years,ready,recognition_lag field,"Use as current-dataset median, not universal rule."
mean recognition lag,14.0 years,ready,recognition_lag field,Mean can be pulled by long-tail cases; pair with median.
source URL coverage,250/250,ready,source_url field,Seed/source URL exists for traceability but still needs selected-paper human reading.
paper URL or DOI coverage,245/250,presentation-ready-cautious,paper_url / doi fields,Use links for follow-up evidence; do not treat link existence as contribution verification.
OpenAlex match coverage,248/250,presentation-ready-cautious,openalex_id field,"OpenAlex coverage supports public metadata/proxy metrics, not official award reasoning."
timing sanity-check issues,0,ready,"computed from year, announcement_year, recognition_lag","If nonzero, inspect listed rows before writing timing claims."
