paper_id,title,venue,year,topic_label,citation_count,recognition_lag,impact_breadth_score,evidence_links_count,metric_fields_present,coverage_status,next_action,safe_wording_boundary
kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,KDD,1996,Data Mining / Clustering,19133,18,81.12,4,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
iccv_1987_56f24279,Snakes: Active Contour Models,ICCV,1987,Computer Vision / Segmentation,17009,26,68.5,5,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",KDD,2005,Data Mining / Network Science,847,11,87.38,6,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,OOPSLA,2001,Programming Languages / Virtual Machines,2212,10,86.5,6,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,SIGIR,1980,Information Retrieval / Probabilistic Models,316,34,58.62,5,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,SIGCOMM,1974,Networking / Research Agenda,9,32,31.62,5,3,presentation-ready-cautious,industry/foundational claim needs note,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,SIGCOMM,1998,Networking / TCP Performance Modeling,36,9,56.12,4,3,presentation-ready-cautious,industry/foundational claim needs note,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,ICCV,1999,Computer Vision / Local Features,16147,12,65.88,5,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,SIGMOD,1993,Database / Association Rules,14771,10,66.75,6,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,WMCSA,1999,Networking / Mobile Ad Hoc Routing,10309,19,44.25,5,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,VLDB,1994,Data Mining / Association Rules,9384,10,58.88,4,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,IEEE Transactions on Information Theory,2000,Information Theory / Network Coding,7857,18,66.38,5,3,presentation-ready-cautious,ready for cautious classroom wording,"Use as representative evidence only after checking URLs; OpenAlex metrics are proxies, not official award reasons."
