建议方向,paper_id,title,year,venue,topic_label_api,citation_count,recognition_lag,impact_breadth_score,manual_priority_score,manual_topic_label,one_sentence_contribution_zh,why_time_tested_zh,foundational_type,industry_impact_level,industry_impact_note_zh,evidence_url_1,evidence_url_2,display_priority,teammate,checked
偏 SIGCOMM/SOSP/OSDI/security/network/systems,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Computer Vision,19133,18,81.12,0.8609,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,iccv_1987_56f24279,Snakes: Active Contour Models,1987,ICCV,Computer Vision,17009,26,68.5,0.8264,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,1999,ICCV,Computer Vision,16147,12,65.88,0.6942,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,vldb_2000_1f64865f,Database replication: a tale of research across communities,2000,VLDB,Computer Vision,13125,10,81.12,0.6607,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,1993,SIGMOD,Database / Systems,14771,10,66.75,0.6501,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,acm_mobicom_2002_e34a4638,Wake on Wireless: An Event Driven Energy Saving Strategy for Battery Operated Devices,2002,ACM MobiCom,Human-Computer Interaction,8135,16,75.88,0.5695,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,sigir_1988_12a50dc3,A Look Back and a Look Forward,1988,SIGIR,Human-Computer Interaction,5127,26,72.25,0.5598,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,2000,IEEE Transactions on Information Theory,Machine Learning Theory,7857,18,66.38,0.545,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,1999,WMCSA,Human-Computer Interaction,10309,19,44.25,0.5341,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,iccv_2001_8e7ef59f,A Database of Human Segmented Natural Images and Its Application to Evaluating Segmentation Algorithms and Measuring Ecological Statistics,2001,ICCV,Computer Vision,7941,15,62.88,0.5129,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,iccv_1998_99fb2c6a,Bilateral Filtering for Gray and Color Images,1998,ICCV,Computer Vision,8050,15,59.5,0.5039,,,,,,,,,,,no
偏 SIGCOMM/SOSP/OSDI/security/network/systems,vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,1994,VLDB,Data Mining / Web,9384,10,58.88,0.4964,,,,,,,,,,,no
